article_url,article_title,article_summary,publish_date,article_authors,timestamp,Category,checked
https://techcrunch.com/2025/12/24/the-year-data-centers-went-from-backend-to-center-stage/,The year data centers went from backend to center stage,"There was a time when most Americans had little to no knowledge about their local data center.
Data Center Watch, an organization tracking anti-data center activism, writes that there are currently 142 different activist groups across 24 states that are organizing against data center developments.
Recent U.S. Census Bureau data shows that, since 2021, construction spending on data centers has skyrocketed a stunning 331%.
Meanwhile, there’s this huge expansion of data centers…[People are wondering] Where is all that money coming from?
Data Center Watch claims that some $64 billion worth of developments have been blocked or delayed as the result of grassroots opposition.",2025-12-24 00:00:00,['Lucas Ropek'],1766926856.008752,Tech Gadgets,
https://techcrunch.com/2025/12/23/john-carreyrou-and-other-authors-bring-new-lawsuit-against-six-major-ai-companies/,John Carreyrou and other authors bring new lawsuit against six major AI companies,"A group of writers, including Theranos whistleblower and “Bad Blood” author John Carreyrou, is filing a lawsuit against Anthropic, Google, OpenAI, Meta, xAI, and Perplexity, accusing the companies of training their models on pirated copies of their books.
If this sounds familiar, it’s because another set of authors already filed a class action suit against Anthropic for these same acts of copyright infringement.
In that case, the judge ruled that it was legal for Anthropic and similar AI companies to train on pirated copies of books, but that it was not legal to pirate the books in the first place.
While eligible writers can receive about $3,000 from the $1.5 billion Anthropic settlement, some authors were dissatisfied with that resolution — it doesn’t hold AI companies accountable for the actual act of using stolen books to train their models, which generate billions of dollars in revenue.
According to the new lawsuit, the plaintiffs say that the proposed Anthropic settlement “seems to serve [the AI companies], not creators.” “LLM companies should not be able to so easily extinguish thousands upon thousands of high-value claims at bargain-basement rates, eliding what should be the true cost of their massive willful infringement,” the lawsuit says.",2025-12-23 00:00:00,['Amanda Silberling'],1766926857.9306889,AI,
https://techcrunch.com/2025/12/22/tech-layoffs-2025-list/,A comprehensive list of 2025 tech layoffs,"Last year saw more than 150,000 job cuts across 549 companies, according to independent layoffs tracker Layoffs.fyi.
We’re tracking layoffs in the tech industry in 2025 so you can see the trajectory of the cutbacks and understand the impact on innovation across all types of companies.
Below you’ll find a comprehensive list of all the known tech layoffs that have occurred in 2025, which will be updated regularly.
December 2025: 300 employees laid off — see all December 2025 tech layoffs November 2025: 8,932 employees laid off — see all November 2025 tech layoffs October 2025: 18,510 employees laid off — see all October 2025 tech layoffs September 2025: 4,152 employees laid off — see all September 2025 tech layoffs August 2025: 6,302 employees laid off — see all August 2025 tech layoffs July 2025: 16,327 employees laid off — see all July 2025 tech layoffs June 2025: 1,606 employees laid off — see all June 2025 tech layoffs May 2025: 10,397 employees laid off — see all May 2025 tech layoffs April 2025: More than 24,500 employees laid off — see all April 2025 tech layoffs March 2025: 8,834 employees laid off — see all March 2025 tech layoffs February 2025: 16,234 employees laid off — see all February 2025 tech layoffs January 2025: 2,403 employees laid off — see all January 2025 tech layoffs December Zebra Technologies Is winding down its autonomous mobile robot (AMR) business, which was built after it acquired Fetch Robotics in 2021, per a report.
Google Is planning to cut employees in its People Operations and cloud organizations teams in a new reorganization effort.",2025-12-22 00:00:00,"['Kate Park', 'Cody Corrall', 'Alyssa Stringer']",1766926860.2519224,Mobile,
https://techcrunch.com/2025/12/26/whats-ahead-for-startups-and-vcs-in-2026-investors-weigh-in/,What's ahead for startups and VCs in 2026? Investors weigh in,"This year, TechCrunch did the same thing, talking to five investors from various markets about what they are preparing for in 2026.
How are you looking at the venture market for next year as a fund manager?
Norman We’re entering what I’d describe as a clearing event for the venture market, and next year will separate durable platforms from transient ones.
Taylor Amazing time to back the boldest founders building for the next 10+ years!
The savvy founders in 2026 have already graduated to a multi-model world, and instead their focus has shifted to specialization.",2025-12-26 00:00:00,['Dominic-Madori Davis'],1766926864.6190434,Other,
https://techcrunch.com/2025/12/23/servicenow-to-acquire-cybersecurity-startup-armis-for-7-75b/,ServiceNow to acquire cybersecurity startup Armis for $7.75B,"Enterprise software company ServiceNow agreed to acquire nine-year-old cybersecurity startup Armis for $7.75 billion in cash.
Just last month, Armis raised a $435 million pre-IPO funding round, which valued the company at $6.1 billion.
According to ServiceNow, Armis has reached $340 million in annual recurring revenue (ARR), with year-over-year growth exceeding 50%.
Armis, which provides security software for critical infrastructure to Fortune 500 companies and governments, will help ServiceNow expand its cybersecurity offerings.
The deal caps off a busy acquisition year for ServiceNow, which scooped up Moveworks for $2.85 billion and agreed to acquire cybersecurity startup Veza for $1 billion.",2025-12-23 00:00:00,['Marina Temkin'],1766926867.5645978,Other,
https://techcrunch.com/2025/12/23/marissa-mayers-new-startup-dazzle-raises-8m-led-by-forerunners-kirsten-green/,Marissa Mayer’s new startup Dazzle raises $8M led by Forerunner's Kirsten Green,"The former Yahoo CEO, Marissa Mayer, refuses to sit on the sidelines of the generative AI revolution.
The round was led by Forerunner’s Kirsten Green, with participation from Kleiner Perkins, Greycroft, Offline Ventures, Slow Ventures, and Bling Capital.
Mayer told TechCrunch that the Sunshine team began prototyping Dazzle last summer, a project that quickly eclipsed their previous work in ambition and opportunity.
Sunshine raised a total of $20 million from investors, including Felicis, Norwest Venture Partners, and Unusual Ventures.
Mayer is now betting that the lessons from Sunshine will help her build a much more resilient and impactful business with Dazzle.",2025-12-23 00:00:00,['Marina Temkin'],1766926869.4388287,AI,
https://techcrunch.com/2025/12/26/these-are-the-cybersecurity-stories-we-were-jealous-of-in-2025/,These are the cybersecurity stories we were jealous of in 2025,"That means it’s time for us to celebrate the best cybersecurity stories we didn’t publish.
Since 2023, TechCrunch has looked back at the best stories across the board from the year in cybersecurity.
There are now dozens of journalists who cover cybersecurity in the English language.
There are a lot of stories about cybersecurity, privacy, and surveillance that are published every week.
The gripping story is also a great behind-the-scenes look at the challenges cybersecurity reporters face when dealing with sources claiming to have great stories to share.",2025-12-26 00:00:00,"['Zack Whittaker', 'Lorenzo Franceschi-Bicchierai']",1766926871.4280348,Other,
https://techcrunch.com/2025/12/27/ny-governor-hochul-signs-bill-requiring-warning-labels-on-addictive-social-media/,NY Governor Hochul signs bill requiring warning labels on ‘addictive’ social media,"New York Governor Kathy Hochul signed a bill this week that will require social media platforms to show warning labels to younger users before they’re exposed to features such as autoplay and infinite scrolling.
The announcement compares the proposed warning labels to those that have been added to products such as tobacco, alcohol, and media with flashing lights.
Then-Surgeon General Vivek Murthy said last year that social media platforms should add warning labels.
“Keeping New Yorkers safe has been my top priority since taking office, and that includes protecting our kids from the potential harms of social media features that encourage excessive use,” Hochul said in a statement.
Last year, New York passed laws requiring that social media platforms obtain parental consent before showing children “addictive feeds” and before collecting or selling the personal data of users under 18.",2025-12-27 00:00:00,['Anthony Ha'],1766926873.295396,Other,
https://techcrunch.com/2025/12/27/meet-the-team-that-investigates-when-journalists-and-activists-get-hacked-with-government-spyware/,Meet the team that investigates when journalists and activists get hacked with government spyware,"For more than a decade, dozens of journalists and human rights activists have been targeted and hacked by governments all over the world.
In speaking with TechCrunch, Selmi described a scenario where someone gets one of these threat notifications, and where Access Now can help victims.
The helpline has more people in Europe, the Middle East, North Africa, and Sub-Saharan region, given that these are hotspots for spyware cases, according to Selmi.
The increase in cases, Selmi explained, is due to several circumstances.
Finally, the helpline team has done more outreach to potentially targeted populations, finding cases of abuse they may not have found otherwise.",2025-12-27 00:00:00,['Lorenzo Franceschi-Bicchierai'],1766926875.1984692,Other,
https://techcrunch.com/2025/12/27/trump-administration-seeks-to-deport-hate-speech-researcher-previously-sued-by-x/,Trump administration seeks to deport hate speech researcher previously sued by X,"A federal judge has temporarily blocked the Trump administration from arresting or deporting Imran Ahmed, CEO of the Center for Countering Digital Hate (CCDH).
The New York Times reports that Ahmed is one of five researchers and regulators whose work around online abuse and disinformation drew the ire of the U.S. State Department, which declared this week that they are barred from the United States.
Secretary of State Marco Rubio described the targeted individuals as “radical activists and weaponized NGOs” who have “led organized efforts to coerce American platforms to censor, demonetize, and suppress American viewpoints they oppose.” While Ahmed was born in the United Kingdom, he has a U.S. green card, resides in the United States, and has an American wife and child.
Ahmed defended his work in an interview with PBS News, describing the government’s move as “another example of these companies [such as Meta, OpenAI, and Elon Musk’s X] which have tried to evade responsibility using their big money to try and influence things in politics.”",2025-12-27 00:00:00,['Anthony Ha'],1766926877.0508325,Other,
